Day,Measured GSR,Extraterrestrial solar radiation,Sunshine Duration (n),Tmax,Tmin,Rainfall,RH Avg
1,11.25265402,21.68644244,8,26.5,9.5,0,82.85
2,12.7422159,20.96837914,7.8,26.8,10.5,0,77.15
3,10.98052154,20.8369395,7,25,9.6,0,87.65
4,12.04434657,21.51563282,7.35,26.5,9.6,0,84.7
5,10.90461993,22.25474785,7,26,9.8,0,87.2
6,10.37267582,22.23230686,7.1,26,10.2,0,86.7
7,10.98327654,21.54714433,7,26.6,10.3,0,83.75
8,9.034856657,21.10477997,5.1,24,10.5,0,84.5
9,6.649042349,21.52749827,2.6,23.3,12.3,0,73.8
10,8.500558084,22.39991172,4.5,22,9.4,0,90.55
11,9.574022423,22.7642364,5,22.6,8.5,0,90.1
12,10.23978745,22.27504593,6.2,24,8.5,0,85.2
13,10.14259777,21.62178153,5.8,23.6,8,0,82.45
14,10.05650185,21.70245365,6.1,24,8.3,0,82.85
15,9.516224686,22.53836005,5,25,9,0,86.85
16,11.0324455,23.24087303,6.5,25,9.5,0,69.75
17,9.725017912,23.07938278,6.5,25,10.9,0,88.15
18,10.57545166,22.36740204,5.6,24.2,9.3,0,84.25
19,0.010294336,22.09248379,0.15,17,12.7,1.2,94.35
20,2.339601356,22.72635248,3,14,8.8,0,100
21,2.755592023,23.6483011,0,13.5,7.2,0,95.75
22,5.693764431,23.88624325,0.5,19,8,0,86.1
23,7.322074532,23.29103996,0,20.3,8,0,85.15
24,13.261122,22.72585372,0.1,23.5,6.5,0,77.85
25,13.27768515,23.03068604,4.5,24,7,0,72.6
26,12.18467535,24.00372172,4.2,24.2,7.5,0,76.55
27,12.14449927,24.63430292,7.25,23.4,7.3,0,79
28,7.799888092,24.31916483,8,24.8,8.4,0,85.45
29,9.568351899,23.59866994,7.1,25.5,13.2,0,87.1
30,9.681812415,23.51479449,6.5,24.5,11.4,0,84.6
